Time,EAR,MAR,Blinks,Yawns,Drowsy
1774793015.93,0.233,0.015,57,0,0
1774793015.95,0.253,0.015,57,0,0
1774793016.01,0.247,0.0,57,0,0
1774793016.02,0.257,0.016,57,0,0
1774793016.08,0.272,0.016,57,0,0
1774793016.09,0.258,0.0,57,0,0
1774793016.14,0.284,0.0,57,0,0
1774793016.15,0.274,0.0,57,0,0
1774793016.21,0.256,0.023,57,0,0
1774793016.23,0.269,0.0,57,0,0
1774793016.28,0.278,0.0,57,0,0
1774793016.3,0.263,0.0,57,0,0
1774793016.34,0.268,0.0,57,0,0
1774793016.35,0.278,0.0,57,0,0
1774793016.42,0.248,0.0,57,0,0
1774793016.44,0.259,0.0,57,0,0
1774793016.48,0.234,0.0,57,0,0
1774793016.5,0.239,0.0,57,0,0
1774793016.55,0.243,0.018,57,0,0
1774793016.56,0.255,0.0,57,0,0
1774793016.6,0.24,0.0,57,0,0
1774793016.61,0.264,0.0,57,0,0
1774793016.67,0.237,0.0,57,0,0
1774793016.68,0.26,0.0,57,0,0
1774793016.73,0.258,0.0,57,0,0
1774793016.74,0.261,0.0,57,0,0
1774793016.81,0.237,0.017,57,0,0
1774793016.83,0.242,0.017,57,0,0
1774793016.88,0.166,0.0,57,0,0
1774793016.89,0.169,0.0,57,0,0
1774793016.94,0.194,0.018,58,0,0
1774793016.96,0.183,0.0,58,0,0
1774793017.0,0.219,0.0,58,0,0
1774793017.02,0.222,0.0,58,0,0
1774793017.06,0.104,0.017,58,0,0
1774793017.08,0.14,0.0,58,0,0
1774793017.13,0.071,0.0,58,0,0
1774793017.17,0.049,0.0,58,0,0
1774793017.21,0.201,0.017,59,0,0
1774793017.22,0.208,0.0,59,0,0
1774793017.27,0.245,0.0,59,0,0
1774793017.29,0.251,0.0,59,0,0
1774793017.33,0.278,0.0,59,0,0
1774793017.35,0.28,0.0,59,0,0
1774793017.41,0.298,0.0,59,0,0
1774793017.42,0.289,0.017,59,0,0
1774793017.47,0.271,0.024,59,0,0
1774793017.48,0.279,0.017,59,0,0
1774793017.53,0.297,0.016,59,0,0
1774793017.55,0.296,0.016,59,0,0
1774793017.61,0.297,0.0,59,0,0
1774793017.63,0.293,0.0,59,0,0
1774793017.68,0.295,0.016,59,0,0
1774793017.69,0.299,0.0,59,0,0
1774793017.73,0.318,0.017,59,0,0
1774793017.75,0.333,0.018,59,0,0
1774793017.8,0.326,0.0,59,0,0
1774793017.81,0.31,0.0,59,0,0
1774793017.87,0.3,0.017,59,0,0
1774793017.88,0.298,0.016,59,0,0
1774793017.93,0.284,0.024,59,0,0
1774793017.95,0.3,0.0,59,0,0
1774793018.01,0.307,0.0,59,0,0
1774793018.02,0.298,0.017,59,0,0
1774793018.08,0.299,0.0,59,0,0
1774793018.09,0.31,0.016,59,0,0
1774793018.14,0.32,0.0,59,0,0
1774793018.16,0.314,0.0,59,0,0
1774793018.2,0.309,0.0,59,0,0
1774793018.21,0.304,0.017,59,0,0
1774793018.27,0.309,0.0,59,0,0
1774793018.28,0.31,0.0,59,0,0
1774793018.35,0.305,0.017,59,0,0
1774793018.36,0.305,0.017,59,0,0
1774793018.38,0.305,0.017,59,0,0
1774793018.41,0.31,0.017,59,0,0
1774793018.47,0.289,0.025,59,0,0
1774793018.48,0.297,0.018,59,0,0
1774793018.53,0.263,0.018,59,0,0
1774793018.55,0.265,0.018,59,0,0
1774793018.61,0.267,0.019,59,0,0
1774793018.62,0.254,0.019,59,0,0
1774793018.67,0.242,0.0,59,0,0
1774793018.68,0.24,0.019,59,0,0
1774793018.75,0.258,0.018,59,0,0
1774793018.76,0.259,0.019,59,0,0
1774793018.77,0.26,0.019,59,0,0
1774793018.81,0.249,0.0,59,0,0
1774793018.88,0.256,0.0,59,0,0
1774793018.89,0.263,0.0,59,0,0
1774793018.94,0.266,0.018,59,0,0
1774793018.95,0.255,0.018,59,0,0
1774793019.0,0.26,0.0,59,0,0
1774793019.02,0.263,0.018,59,0,0
1774793019.07,0.275,0.018,59,0,0
1774793019.08,0.269,0.018,59,0,0
1774793019.16,0.267,0.0,59,0,0
1774793019.18,0.285,0.0,59,0,0
1774793019.2,0.278,0.0,59,0,0
1774793019.21,0.287,0.017,59,0,0
1774793019.27,0.296,0.054,59,0,0
1774793019.29,0.299,0.036,59,0,0
1774793019.34,0.279,0.017,59,0,0
1774793019.36,0.301,0.024,59,0,0
1774793019.4,0.298,0.0,59,0,0
1774793019.42,0.292,0.0,59,0,0
1774793019.47,0.194,0.017,59,0,0
1774793019.48,0.188,0.0,59,0,0
1774793019.55,0.204,0.017,59,0,0
1774793019.56,0.201,0.017,59,0,0
1774793019.57,0.203,0.017,59,0,0
1774793019.61,0.251,0.017,59,0,0
1774793019.67,0.257,0.0,59,0,0
1774793019.68,0.255,0.0,59,0,0
1774793019.74,0.281,0.017,59,0,0
1774793019.75,0.273,0.0,59,0,0
1774793019.8,0.298,0.0,59,0,0
1774793019.82,0.297,0.0,59,0,0
1774793019.87,0.303,0.0,59,0,0
1774793019.89,0.305,0.0,59,0,0
1774793019.95,0.321,0.018,59,0,0
1774793019.96,0.323,0.0,59,0,0
1774793019.98,0.323,0.0,59,0,0
1774793020.01,0.335,0.0,59,0,0
1774793020.08,0.315,0.0,59,0,0
1774793020.09,0.317,0.0,59,0,0
1774793020.14,0.322,0.0,59,0,0
1774793020.16,0.315,0.0,59,0,0
1774793020.21,0.304,0.0,59,0,0
1774793020.22,0.31,0.0,59,0,0
1774793020.28,0.3,0.0,59,0,0
1774793020.3,0.296,0.017,59,0,0
1774793020.31,0.303,0.017,59,0,0
1774793020.35,0.307,0.017,59,0,0
1774793020.36,0.304,0.017,59,0,0
1774793020.41,0.313,0.017,59,0,0
1774793020.47,0.303,0.0,59,0,0
1774793020.49,0.314,0.0,59,0,0
1774793020.54,0.314,0.0,59,0,0
1774793020.56,0.307,0.018,59,0,0
1774793020.61,0.31,0.017,59,0,0
1774793020.62,0.302,0.0,59,0,0
1774793020.68,0.316,0.0,59,0,0
1774793020.69,0.321,0.0,59,0,0
1774793020.71,0.315,0.0,59,0,0
1774793020.74,0.299,0.018,59,0,0
1774793020.76,0.324,0.018,59,0,0
1774793020.81,0.316,0.018,59,0,0
1774793020.88,0.318,0.017,59,0,0
1774793020.89,0.31,0.017,59,0,0
1774793020.94,0.306,0.017,59,0,0
1774793020.96,0.306,0.017,59,0,0
1774793021.01,0.308,0.017,59,0,0
1774793021.02,0.306,0.0,59,0,0
1774793021.08,0.314,0.0,59,0,0
1774793021.1,0.325,0.0,59,0,0
1774793021.11,0.32,0.0,59,0,0
1774793021.15,0.316,0.0,59,0,0
1774793021.18,0.31,0.0,59,0,0
1774793021.21,0.314,0.025,59,0,0
1774793021.28,0.294,0.017,59,0,0
1774793021.29,0.306,0.017,59,0,0
1774793021.34,0.302,0.017,59,0,0
1774793021.35,0.308,0.0,59,0,0
1774793021.41,0.302,0.018,59,0,0
1774793021.42,0.308,0.0,59,0,0
1774793021.48,0.3,0.017,59,0,0
1774793021.5,0.298,0.017,59,0,0
1774793021.51,0.292,0.017,59,0,0
1774793021.55,0.292,0.017,59,0,0
1774793021.56,0.296,0.017,59,0,0
1774793021.61,0.31,0.0,59,0,0
1774793021.68,0.316,0.0,59,0,0
1774793021.69,0.306,0.0,59,0,0
1774793021.74,0.308,0.017,59,0,0
1774793021.75,0.309,0.0,59,0,0
1774793021.8,0.306,0.018,59,0,0
1774793021.82,0.31,0.0,59,0,0
1774793021.89,0.309,0.017,59,0,0
1774793021.9,0.307,0.0,59,0,0
1774793021.91,0.307,0.017,59,0,0
1774793021.95,0.317,0.0,59,0,0
1774793021.97,0.315,0.0,59,0,0
1774793022.02,0.327,0.0,59,0,0
1774793022.09,0.306,0.0,59,0,0
1774793022.11,0.304,0.0,59,0,0
1774793022.15,0.296,0.025,59,0,0
1774793022.16,0.288,0.0,59,0,0
1774793022.23,0.292,0.0,59,0,0
1774793022.24,0.292,0.0,59,0,0
1774793022.26,0.297,0.018,59,0,0
1774793022.3,0.295,0.026,59,0,0
1774793022.32,0.302,0.018,59,0,0
1774793022.36,0.282,0.0,59,0,0
1774793022.38,0.291,0.0,59,0,0
1774793022.42,0.295,0.018,59,0,0
1774793022.48,0.294,0.025,59,0,0
1774793022.5,0.298,0.018,59,0,0
1774793022.55,0.289,0.018,59,0,0
1774793022.56,0.273,0.0,59,0,0
1774793022.63,0.264,0.0,59,0,0
1774793022.65,0.284,0.0,59,0,0
1774793022.66,0.277,0.0,59,0,0
1774793022.69,0.294,0.0,59,0,0
1774793022.71,0.276,0.0,59,0,0
1774793022.75,0.264,0.0,59,0,0
1774793022.76,0.285,0.0,59,0,0
1774793022.82,0.287,0.0,59,0,0
1774793022.87,0.277,0.0,59,0,0
1774793022.88,0.277,0.015,59,0,0
1774793022.94,0.27,0.015,59,0,0
1774793022.95,0.263,0.015,59,0,0
1774793023.02,0.193,0.016,59,0,0
1774793023.03,0.194,0.016,59,0,0
1774793023.04,0.196,0.016,59,0,0
1774793023.09,0.214,0.0,59,0,0
1774793023.1,0.206,0.016,59,0,0
1774793023.17,0.094,0.0,59,0,0
1774793023.18,0.107,0.0,59,0,0
1774793023.21,0.122,0.015,59,0,0
1774793023.28,0.209,0.014,60,0,0
1774793023.29,0.243,0.014,60,0,0
1774793023.34,0.23,0.0,60,0,0
1774793023.35,0.239,0.0,60,0,0
1774793023.42,0.256,0.0,60,0,0
1774793023.43,0.262,0.0,60,0,0
1774793023.45,0.263,0.0,60,0,0
1774793023.48,0.273,0.0,60,0,0
1774793023.5,0.268,0.021,60,0,0
1774793023.55,0.255,0.02,60,0,0
1774793023.56,0.267,0.0,60,0,0
1774793023.61,0.233,0.014,60,0,0
1774793023.68,0.247,0.032,60,0,0
1774793023.69,0.241,0.014,60,0,0
1774793023.74,0.272,0.021,60,0,0
1774793023.75,0.275,0.021,60,0,0
1774793023.82,0.257,0.0,60,0,0
1774793023.83,0.267,0.014,60,0,0
1774793023.84,0.269,0.014,60,0,0
1774793023.88,0.271,0.014,60,0,0
1774793023.9,0.255,0.014,60,0,0
1774793023.95,0.265,0.014,60,0,0
1774793023.97,0.275,0.0,60,0,0
1774793024.01,0.252,0.0,60,0,0
1774793024.08,0.245,0.02,60,0,0
1774793024.09,0.251,0.014,60,0,0
1774793024.16,0.112,0.028,60,0,0
1774793024.17,0.133,0.0,60,0,0
1774793024.18,0.123,0.02,60,0,0
1774793024.22,0.226,0.031,61,0,0
1774793024.23,0.223,0.014,61,0,0
1774793024.28,0.274,0.032,61,0,0
1774793024.3,0.27,0.042,61,0,0
1774793024.35,0.307,0.014,61,0,0
1774793024.36,0.293,0.0,61,0,0
1774793024.41,0.319,0.212,61,0,0
1774793024.48,0.325,0.127,61,0,0
1774793024.49,0.345,0.139,61,0,0
1774793024.56,0.321,0.0,61,0,0
1774793024.57,0.335,0.014,61,0,0
1774793024.59,0.343,0.0,61,0,0
1774793024.62,0.323,0.0,61,0,0
1774793024.64,0.335,0.0,61,0,0
1774793024.68,0.313,0.0,61,0,0
1774793024.7,0.314,0.0,61,0,0
1774793024.75,0.321,0.0,61,0,0
1774793024.76,0.323,0.016,61,0,0
1774793024.81,0.31,0.0,61,0,0
1774793024.88,0.315,0.0,61,0,0
1774793024.89,0.324,0.0,61,0,0
1774793024.98,0.314,0.0,61,0,0
1774793024.99,0.324,0.0,61,0,0
1774793025.01,0.326,0.0,61,0,0
1774793025.02,0.331,0.0,61,0,0
1774793025.04,0.334,0.0,61,0,0
1774793025.09,0.326,0.016,61,0,0
1774793025.11,0.326,0.0,61,0,0
1774793025.17,0.327,0.0,61,0,0
1774793025.18,0.322,0.0,61,0,0
1774793025.21,0.315,0.151,61,0,0
1774793025.27,0.32,0.156,61,0,0
1774793025.29,0.304,0.11,61,0,0
1774793025.36,0.31,0.11,61,0,0
1774793025.37,0.306,0.143,61,0,0
1774793025.39,0.306,0.11,61,0,0
1774793025.42,0.298,0.148,61,0,0
1774793025.43,0.318,0.146,61,0,0
1774793025.48,0.311,0.146,61,0,0
1774793025.5,0.327,0.13,61,0,0
1774793025.55,0.301,0.162,61,0,0
1774793025.56,0.303,0.204,61,0,0
1774793025.61,0.194,0.076,61,0,0
1774793025.68,0.083,0.018,61,0,0
1774793025.69,0.093,0.017,61,0,0
1774793025.75,0.382,0.0,62,0,0
1774793025.77,0.401,0.0,62,0,0
1774793025.78,0.359,0.023,62,0,0
1774793025.82,0.592,0.028,62,0,0
1774793025.83,0.471,0.029,62,0,0
1774793025.88,0.4,0.02,62,0,0
1774793025.9,0.351,0.019,62,0,0
1774793025.95,0.335,0.027,62,0,0
1774793025.96,0.35,0.023,62,0,0
1774793026.01,0.443,0.029,62,0,0
1774793026.09,0.395,0.029,62,0,0
1774793026.11,0.356,0.04,62,0,0
1774793026.16,0.399,0.06,62,0,0
1774793026.17,0.376,0.038,62,0,0
1774793026.19,0.417,0.062,62,0,0
1774793026.22,0.471,0.025,62,0,0
1774793026.23,0.523,0.024,62,0,0
1774793026.28,0.479,0.023,62,0,0
1774793026.29,0.412,0.024,62,0,0
1774793026.35,0.423,0.023,62,0,0
